"StoryType";"Pag";"N";"Url";"Schema";"Www";"Dominio";"Percorso";"Frammento";"Lunghezza";"tinyurl"
2;291;1;"https://palareti.eu/storia-suddivisioni-territoriali/evoluzione-appodiati-stato-pontificio.html";"https://";"";"palareti.eu";"storia-suddivisioni-territoriali/evoluzione-appodiati-stato-pontificio.html";"";95;
2;292;1;"https://it.wikipedia.org/wiki/Codice_di_avviamento_postale";"https://";"";"it.wikipedia.org";"wiki/Codice_di_avviamento_postale";"";58;
2;293;1;"tinyurl.com/2d3dsxuz";"https://";"";"tinyurl.com";"2d3dsxuz";"";20;
2;294;1;"tinyurl.com/2ru4fucc";"https://";"";"tinyurl.com";"2ru4fucc";"";20;
2;295;1;"https://www.treccani.it/vocabolario/hinterland";"https://";"www";"treccani.it";"vocabolario/hinterland";"";46;
2;296;1;"tinyurl.com/3je6upka";"https://";"";"tinyurl.com";"3je6upka";"";20;
2;297;1;"https://poste.it/cerca/index.html";"https://";"";"poste.it";"cerca/index.html";"";33;
2;298;1;"https://poste.it/standard_composizione_indirizzi.pdf";"https://";"";"poste.it";"standard_composizione_indirizzi.pdf";"";52;
2;299;1;"https://www.upu.int/en/Postal-Solutions/Programmes-Services/Addressing-Solutions";"https://";"www";"upu.int";"en/Postal-Solutions/Programmes-Services/Addressing-Solutions";"";80;
2;300;1;"https://archiviostorico.gruppotim.it/it/anni-70 ";"https://";"";"archiviostorico.gruppotim.it";"it/anni-70 ";"";48;
2;301;1;"https://it.wikipedia.org/wiki/Prefissi_telefonici_italiani";"https://";"";"it.wikipedia.org";"wiki/Prefissi_telefonici_italiani";"";58;
2;302;1;"archiviostorico.gruppotim.it";"";"";"archiviostorico.gruppotim.it";"";"";28;
2;303;1;"https://it.wikipedia.org/wiki/Pretore_(ordinamenti_moderni)";"https://";"";"it.wikipedia.org";"wiki/Pretore_(ordinamenti_moderni)";"";59;
2;304;1;"tinyurl.com/3dan8652";"https://";"";"tinyurl.com";"3dan8652";"";20;
2;305;1;"http://www.elesh.it/storiacomuni/cercacomuni.asp";"http://";"www";"elesh.it";"storiacomuni/cercacomuni.asp";"";48;
2;306;1;"tinyurl.com/3x6ez64c";"https://";"";"tinyurl.com";"3x6ez64c";"";20;
2;307;1;"http://www.elesh.it/storiacomuni/storia_comune.asp?istat=103019";"http://";"www";"elesh.it";"storiacomuni/storia_comune.asp?istat=103019";"";63;
2;308;1;"https://it.wikisource.org/wiki/R.D._28_giugno_1863,_n._1426";"https://";"";"it.wikisource.org";"wiki/R.D._28_giugno_1863,_n._1426";"";59;
2;309;1;"tinyurl.com/rhynm6bt";"https://";"";"tinyurl.com";"rhynm6bt";"";20;
2;310;1;"https://it.wikipedia.org/wiki/Collecchio";"https://";"";"it.wikipedia.org";"wiki/Collecchio";"";40;
2;311;1;"https://it.wikipedia.org/wiki/Parma";"https://";"";"it.wikipedia.org";"wiki/Parma";"";35;
2;312;1;"https://palareti.eu/storia-suddivisioni-territoriali/omonimie.html";"https://";"";"palareti.eu";"storia-suddivisioni-territoriali/omonimie.html";"";66;
2;313;1;"https://www.treccani.it/vocabolario/castiglione";"https://";"www";"treccani.it";"vocabolario/castiglione";"";47;
